feature,importance
tag_count,0.08605690762517117
publisher_historical_success,0.07469603691522299
achievements,0.05124768517294664
description_length,0.04785557633319715
developer_historical_success,0.04591218015941536
price,0.04562028887709745
release_year,0.04155626781269506
has_tags,0.035536969544153765
language_count,0.034362330134728884
category_count,0.03155750108662607
release_month,0.02939138368196243
cat_steam_trading_cards,0.026118296797442184
cat_steam_cloud,0.02565273171380841
release_day_of_week,0.024622737319029482
genre_count,0.02095574860019809
price_tier,0.020016837961037072
developer_game_count,0.01892516633663262
audio_language_count,0.016481535756339837
release_quarter,0.015319951176837394
platform_count,0.014127856442699246
